"signature","type","channel","fraction"
"CN2","5-8","5-8:het:1Mb-10Mb",0.0193355479083318
"CN2","5-8","5-8:het:10Mb-40Mb",0.0256416712952565
"CN2","5-8","5-8:het:>40Mb",0.0441748070746252
"CN2","9+","9+:het:0-100kb",0.000991451007936054
"CN2","9+","9+:het:100kb-1Mb",0.00324100962706138
"CN2","9+","9+:het:1Mb-10Mb",0.00377986464128337
"CN2","9+","9+:het:10Mb-40Mb",0.00190840434394782
"CN2","9+","9+:het:>40Mb",0.00209996035074306
"CN3","0","0:homdel:0-100kb",0.0640442425617697
"CN3","0","0:homdel:100kb-1Mb",0.00640384025615361
"CN3","0","0:homdel:>1Mb",0.0130334305213372
"CN3","1","1:LOH:0-100kb",0.0622135824885433
"CN3","1","1:LOH:100kb-1Mb",0.0126148205045928
"CN3","1","1:LOH:1Mb-10Mb",0.0192834607713384
"CN3","1","1:LOH:10Mb-40Mb",0.00871990034879601
"CN3","1","1:LOH:>40Mb",0.00409212016368481
"CN3","2","2:LOH:0-100kb",0.0013884900555396
"CN3","2","2:LOH:100kb-1Mb",0.0338351413534057
"CN3","2","2:LOH:1Mb-10Mb",0.0189905807596232
"CN3","2","2:LOH:10Mb-40Mb",0.0026749701069988
"CN3","2","2:LOH:>40Mb",8.23700032948001e-05
"CN3","3-4","3-4:LOH:0-100kb",0.002719100108764
"CN3","3-4","3-4:LOH:100kb-1Mb",0.0238112209524488
"CN3","3-4","3-4:LOH:1Mb-10Mb",0.0343676713747069
"CN3","3-4","3-4:LOH:10Mb-40Mb",0.021891550875662
"CN3","3-4","3-4:LOH:>40Mb",0.0252947910117916
"CN3","5-8","5-8:LOH:0-100kb",5.30000021200001e-07
"CN3","5-8","5-8:LOH:100kb-1Mb",0.0025695601027824
"CN3","5-8","5-8:LOH:1Mb-10Mb",0.00554920022196801
"CN3","5-8","5-8:LOH:10Mb-40Mb",7.10000028400001e-07
"CN3","5-8","5-8:LOH:>40Mb",0.00535955021438201
"CN3","9+","9+:LOH:0-100kb",7.10000028400001e-07
"CN3","9+","9+:LOH:100kb-1Mb",0.0021619600864784
"CN3","9+","9+:LOH:1Mb-10Mb",0.002206600088264
"CN3","9+","9+:LOH:10Mb-40Mb",0.002112900084516
"CN3","9+","9+:LOH:>40Mb",0.000927550037102001
"CN3","2","2:het:0-100kb",0.02085150083406
"CN3","2","2:het:100kb-1Mb",0.0113719804548792
"CN3","2","2:het:1Mb-10Mb",0.023632350945294
"CN3","2","2:het:10Mb-40Mb",0.0243278209731128
"CN3","2","2:het:>40Mb",0.0227887609115504
"CN3","3-4","3-4:het:0-100kb",0.016759400670376
"CN3","3-4","3-4:het:100kb-1Mb",0.0426479917059197
"CN3","3-4","3-4:het:1Mb-10Mb",0.0276206111048244
"CN3","3-4","3-4:het:10Mb-40Mb",0.0185054407402176
"CN3","3-4","3-4:het:>40Mb",1.800000072e-07
"CN3","5-8","5-8:het:0-100kb",0.00551728022069121
"CN3","5-8","5-8:het:100kb-1Mb",0.0395237415809497
"CN3","5-8","5-8:het:1Mb-10Mb",0.162603386504135
"CN3","5-8","5-8:het:10Mb-40Mb",0.122266014890641
"CN3","5-8","5-8:het:>40Mb",0.0769365630774625
"CN3","9+","9+:het:0-100kb",0.0025461801018472
"CN3","9+","9+:het:100kb-1Mb",0.0017438300697532
"CN3","9+","9+:het:1Mb-10Mb",7.10000028400001e-07
"CN3","9+","9+:het:10Mb-40Mb",0.0019746200789848
"CN3","9+","9+:het:>40Mb",0.0020310800812432
"CN4","0","0:homdel:0-100kb",0.0009662800193256
"CN4","0","0:homdel:100kb-1Mb",0.000219550004391
"CN4","0","0:homdel:>1Mb",6.12400012248e-05
"CN4","1","1:LOH:0-100kb",0.0561507711230154
"CN4","1","1:LOH:100kb-1Mb",0.247798924955978
"CN4","1","1:LOH:1Mb-10Mb",0.0833693416673868
"CN4","1","1:LOH:10Mb-40Mb",0.0001009600020192
"CN4","1","1:LOH:>40Mb",0.0023037800460756
"CN4","2","2:LOH:0-100kb",0.014146300282926
"CN4","2","2:LOH:100kb-1Mb",0.0400893808017876
"CN4","2","2:LOH:1Mb-10Mb",0.0061800901236018
"CN4","2","2:LOH:10Mb-40Mb",0.0002451600049032
"CN4","2","2:LOH:>40Mb",0.0024150200483004
"CN4","3-4","3-4:LOH:0-100kb",0.0140256602805132
"CN4","3-4","3-4:LOH:100kb-1Mb",0.0114402102288042
"CN4","3-4","3-4:LOH:1Mb-10Mb",0.000107850002157
"CN4","3-4","3-4:LOH:10Mb-40Mb",1.00000002e-07
"CN4","3-4","3-4:LOH:>40Mb",1.300000026e-07
"CN4","5-8","5-8:LOH:0-100kb",0.0255271705105434
"CN4","5-8","5-8:LOH:100kb-1Mb",0.0016927300338546
"CN4","5-8","5-8:LOH:1Mb-10Mb",1.900000038e-07
"CN4","5-8","5-8:LOH:10Mb-40Mb",1.31400002628e-05
"CN4","5-8","5-8:LOH:>40Mb",1.400000028e-07
"CN4","9+","9+:LOH:0-100kb",1.05600002112e-05
"CN4","9+","9+:LOH:100kb-1Mb",2.800000056e-07
"CN4","9+","9+:LOH:1Mb-10Mb",2.800000056e-07
"CN4","9+","9+:LOH:10Mb-40Mb",2.800000056e-07
"CN4","9+","9+:LOH:>40Mb",2.800000056e-07
"CN4","2","2:het:0-100kb",0.0001832100036642
"CN4","2","2:het:100kb-1Mb",0.000930600018612
"CN4","2","2:het:1Mb-10Mb",0.0012427100248542
"CN4","2","2:het:10Mb-40Mb",0.0065302101306042
"CN4","2","2:het:>40Mb",0.0472108209442164
"CN4","3-4","3-4:het:0-100kb",0.0283977205679544
"CN4","3-4","3-4:het:100kb-1Mb",0.203288654065773
"CN4","3-4","3-4:het:1Mb-10Mb",0.0556759911135198
"CN4","3-4","3-4:het:10Mb-40Mb",0.003409950068199
"CN4","3-4","3-4:het:>40Mb",0.0047273100945462
"CN4","5-8","5-8:het:0-100kb",0.0686062413721248
"CN4","5-8","5-8:het:100kb-1Mb",0.0568657611373152
"CN4","5-8","5-8:het:1Mb-10Mb",0.0113451102269022
"CN4","5-8","5-8:het:10Mb-40Mb",0.0046315200926304
"CN4","5-8","5-8:het:>40Mb",1.00000002e-08
"CN4","9+","9+:het:0-100kb",5.16300010326e-05
"CN4","9+","9+:het:100kb-1Mb",2.15100004302e-05
"CN4","9+","9+:het:1Mb-10Mb",2.600000052e-07
"CN4","9+","9+:het:10Mb-40Mb",2.400000048e-07
"CN4","9+","9+:het:>40Mb",1.47400002948e-05
"CN5","0","0:homdel:0-100kb",0.0258224902402731
"CN5","0","0:homdel:100kb-1Mb",0.0249935703104507
"CN5","0","0:homdel:>1Mb",0.0038887000742626
"CN5","1","1:LOH:0-100kb",0.0158291151398293
"CN5","1","1:LOH:100kb-1Mb",0.0265449402928998
"CN5","1","1:LOH:1Mb-10Mb",0.0013580300070385
"CN5","1","1:LOH:10Mb-40Mb",0.00057368500717215
"CN5","1","1:LOH:>40Mb",8.099499986625e-05
"CN5","2","2:LOH:0-100kb",0.0133515000616856
